word,word_link,tree
aceite de sesamo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2981&/aceite-de-sesamo,Inicio | Tecnología I | aceites | aceites vegetales | aceite de sesamo
aceite de soja,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2983&/aceite-de-soja,Inicio | Tecnología I | aceites | aceites secantes | aceite de soja
aceites,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2978&/aceites,Inicio | Tecnología I | aceites
aceites animales,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2990&/aceites-animales,Inicio | Tecnología I | aceites | aceites animales
aceites combustibles,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2992&/aceites-combustibles,Inicio | Tecnología I | aceites | aceites combustibles
aceites comestibles,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2991&/aceites-comestibles,Inicio | Tecnología I | aceites | aceites comestibles
aceites de higado de pescado,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=3001&/aceites-de-higado-de-pescado,Inicio | aceites de higado de pescado
aceites de pescado,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=3000&/aceites%20de%20pescado,Inicio | Tecnología I | aceites | aceites animales | aceites de pescado
aceites de pescado,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=3000&/aceites-de-pescado,Inicio | Tecnología I | aceites | aceites animales | aceites de pescado
aceites de petroleo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=10829&/aceites-de-petroleo,Inicio | aceites de petroleo
petroleo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2976&/petroleo,Inicio | Tecnología I | aceites | petroleo
aceites esenciales,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=3002&/aceites-esenciales,Inicio | Tecnología I | aceites | aceites vegetales | aceites esenciales
aceites hiraulicos,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=8632&/aceites-hiraulicos,Inicio | aceites hiraulicos
fluidos hidraulicos,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2984&/fluidos%20hidraulicos,Inicio | Tecnología I | fluidos hidraulicos
